timestamp,username,status,detail
2026-08-03T19:29:27,0._.ahmii_,unfollowed,Unfollow confirmation clicked.
2026-08-03T19:29:29,007amkhn,unfollowed,Unfollow confirmation clicked.
2026-08-03T19:29:32,0l30,unfollowed,Unfollow confirmation clicked.
2026-08-03T19:29:35,100.100.100.1000.100,unfollowed,Unfollow confirmation clicked.
2026-08-03T19:29:40,1aicsandar00,unfollowed,Unfollow confirmation clicked.
2026-08-03T19:29:43,1alyy27,unfollowed,Unfollow confirmation clicked.
2026-08-03T19:29:46,1ashirrkhan,unfollowed,Unfollow confirmation clicked.
2026-08-03T19:29:49,1mahnoormanzoor,unfollowed,Unfollow confirmation clicked.
2026-08-03T19:29:52,1roshaan_,unfollowed,Unfollow confirmation clicked.
2026-08-03T19:29:54,2299anjana,unfollowed,Unfollow confirmation clicked.
2026-08-03T19:29:57,3.r3th15,unfollowed,Unfollow confirmation clicked.
2026-08-03T19:30:00,364daysofgym,unfollowed,Unfollow confirmation clicked.
2026-08-03T19:30:03,3platemacaronikhaugi,unfollowed,Unfollow confirmation clicked.
2026-08-03T19:30:06,4am_kalfan,unfollowed,Unfollow confirmation clicked.
2026-08-03T19:30:09,4bdu11ah____,unfollowed,Unfollow confirmation clicked.
2026-08-03T19:30:11,4hmed1cat1on,unfollowed,Unfollow confirmation clicked.
2026-08-03T19:30:15,4shhmmll,unfollowed,Unfollow confirmation clicked.
2026-08-03T19:30:18,_._nushrat_._,unfollowed,Unfollow confirmation clicked.
2026-08-03T19:30:21,_.abdullah29,unfollowed,Unfollow confirmation clicked.
2026-08-03T19:30:23,_.bushrahabib,unfollowed,Unfollow confirmation clicked.
2026-08-03T19:30:26,_.fatima45,unfollowed,Unfollow confirmation clicked.
2026-08-03T19:30:29,_.hamidali,unfollowed,Unfollow confirmation clicked.
2026-08-03T19:30:32,_.itssjay._.11,unfollowed,Unfollow confirmation clicked.
2026-08-03T19:30:34,_.mahas,unfollowed,Unfollow confirmation clicked.
2026-08-03T19:30:37,_.manahalqureshi,unfollowed,Unfollow confirmation clicked.
2026-08-03T19:30:40,_.muskaaann,unfollowed,Unfollow confirmation clicked.
2026-08-03T19:30:43,_.muskkk,unfollowed,Unfollow confirmation clicked.
2026-08-03T19:30:46,_.namraa_,unfollowed,Unfollow confirmation clicked.
2026-08-03T19:30:48,_.noorieeee._,unfollowed,Unfollow confirmation clicked.
2026-08-03T19:30:52,_.omeeeer,unfollowed,Unfollow confirmation clicked.
2026-08-03T19:30:54,_.p4rishaa,unfollowed,Unfollow confirmation clicked.
2026-08-03T19:30:57,_.s3mii,unfollowed,Unfollow confirmation clicked.
2026-08-03T19:31:00,_.saim_khan03,unfollowed,Unfollow confirmation clicked.
2026-08-03T19:31:02,_.shayan._67,unfollowed,Unfollow confirmation clicked.
2026-08-03T19:31:05,_.siam._x,unfollowed,Unfollow confirmation clicked.
2026-08-03T19:31:09,_.whoiszeee,unfollowed,Unfollow confirmation clicked.
2026-08-03T19:31:12,__.h00or,unfollowed,Unfollow confirmation clicked.
